state,contact_reduce_num,notification_num,mask_vaccine_num,Strictness,Strict_Label,cases,deaths,population,infection_ratio,fatality_ratio
Rhode Island,19,36,4,1.0,Strict,109850741,1688164.0,1097379.0,100.10282773772781,1.538360037872057
Pennsylvania,18,37,4,0.9766081871345029,Strict,862088635,17686178.0,13002700.0,66.30074023087512,1.3601927292023965
District of Columbia,14,34,6,0.9590643274853801,Strict,40268288,723725.0,689545.0,58.39834673589106,1.0495689186347519
District of Columbia,14,34,6,0.9590643274853801,Strict,40268288,723725.0,689545.0,58.39834673589106,1.0495689186347519
Oregon,16,33,5,0.9532163742690059,Strict,184776808,2174360.0,4237256.0,43.607657408473784,0.5131528517512277
Illinois,16,33,5,0.9532163742690059,Strict,1003789402,16325451.0,12812508.0,78.34448977514785,1.274180745877388
New Mexico,16,32,5,0.9473684210526315,Strict,156796607,2717521.0,2117522.0,74.04721509386916,1.2833495944788296
Massachusetts,17,40,3,0.9064327485380117,Strict,518401044,11482924.0,7029917.0,73.74212867662591,1.6334366394368525
Washington,14,34,5,0.9005847953216374,Strict,388522399,4433121.0,7705281.0,50.42287218337657,0.575335409571695
New York,15,38,4,0.8947368421052632,Moderate,1546095621,35976831.0,20201249.0,76.53465491168393,1.780921120273306
Michigan,16,33,4,0.8947368421052632,Moderate,712777273,13824051.0,10077331.0,70.73075926552377,1.3717968577195687
Texas,15,32,4,0.8596491228070176,Moderate,2200578907,34210783.0,29145505.0,75.50320047636848,1.173792768387441
Arizona,17,30,3,0.847953216374269,Moderate,650613676,11347967.0,7151502.0,90.97580843856298,1.5867949138516637
Delaware,14,34,4,0.8421052631578947,Moderate,79911597,1132465.0,989948.0,80.72302484574948,1.1439641274087125
Louisiana,15,28,4,0.8362573099415205,Moderate,397218907,7593527.0,4657757.0,85.28115721794846,1.6302969433570709
California,11,36,5,0.8245614035087719,Moderate,2810120533,36935467.0,39538223.0,71.07351620228354,0.9341711437056743
Kentucky,15,35,3,0.8187134502923976,Moderate,379542997,4852954.0,4505836.0,84.23364654195137,1.0770374243536605
Vermont,16,35,2,0.7894736842105263,Lax,25219645,194841.0,643077.0,39.21714662474323,0.3029823800260311
Minnesota,14,34,3,0.783625730994152,Lax,444241775,4968270.0,5706494.0,77.84846089385181,0.8706344035409482
Arkansas,13,28,4,0.7777777777777778,Lax,268300581,4056767.0,3011524.0,89.09129762870892,1.347081079214378
Montana,14,32,3,0.7719298245614035,Lax,85971577,1131403.0,1084225.0,79.29311443657912,1.0435131084415135
Florida,14,28,3,0.7485380116959064,Lax,1861563287,27239119.0,21538187.0,86.43082572363217,1.2646895024172646
Colorado,14,38,2,0.7485380116959064,Lax,408225028,4730426.0,5773714.0,70.7040611987362,0.8193038311215277
West Virginia,16,28,2,0.7485380116959064,Lax,135395313,2077693.0,1793716.0,75.48313835635072,1.1583177046979567
Hawaii,13,32,3,0.7426900584795322,Lax,49192479,422331.0,1455271.0,33.802967969539694,0.29020780322015627
Nevada,11,41,3,0.7368421052631579,Lax,238966053,3815140.0,3104614.0,76.97126051741054,1.2288613012761007
New Jersey,13,31,3,0.7368421052631579,Lax,712520309,17527511.0,9288994.0,76.7058638427369,1.886911650497352
Connecticut,12,35,3,0.7309941520467836,Lax,238661428,5477738.0,3605944.0,66.1855613952962,1.5190857095950463
Iowa,11,29,4,0.7251461988304093,Lax,266447296,3772302.0,3190369.0,83.51613747500681,1.182403038645373
South Carolina,12,33,3,0.7192982456140351,Lax,456870065,6639750.0,5118425.0,89.25989244738372,1.29722522064893
Virginia,11,36,3,0.7076023391812866,Lax,507843011,7192970.0,8631393.0,58.83673828778275,0.8333498428353338
New Hampshire,14,31,2,0.7076023391812866,Lax,79409942,913568.0,1377529.0,57.64665716656419,0.6631932975639714
Alabama,14,29,2,0.695906432748538,Lax,423771271,7294870.0,5024279.0,84.34469323857215,1.4519237486612506
Maryland,13,33,2,0.6900584795321637,Lax,330764870,6177188.0,6177224.0,53.54587594686545,0.9999941721394594
Maine,13,29,2,0.6666666666666666,Lax,56625608,632896.0,1362359.0,41.56438060746103,0.46455890114132914
North Carolina,11,37,2,0.6549707602339181,Lax,781363129,8774744.0,10439388.0,74.84759920792291,0.8405419934578541
Alaska,12,31,2,0.6491228070175439,Lax,65140447,325853.0,733391.0,88.82089772031563,0.44431006107247023
North Dakota,11,26,3,0.6491228070175439,Lax,80821460,969856.0,779094.0,103.73775179888435,1.2448510706025204
Mississippi,12,29,2,0.6374269005847953,Lax,257781059,5047670.0,2961279.0,87.05058152237598,1.7045573888850054
Utah,8,29,4,0.6374269005847953,Lax,300615600,1611287.0,3271616.0,91.88596705725855,0.49250492722862343
Ohio,12,28,2,0.631578947368421,Lax,831892026,13146201.0,11799448.0,70.50262232606136,1.1141369494572966
Kansas,11,32,2,0.6257309941520468,Lax,242464991,3201573.0,2937880.0,82.53059723337917,1.0897562187699974
Georgia,12,25,2,0.6140350877192983,Lax,819649194,13673489.0,10711908.0,76.51757221962698,1.2764755821278524
Indiana,10,32,2,0.5964912280701754,Lax,552627417,9055874.0,6785528.0,81.44206567270815,1.334586490542814
Oklahoma,13,26,1,0.5906432748538012,Lax,335992344,4659684.0,3959353.0,84.8604163356993,1.1768801619860618
Tennessee,12,31,1,0.5906432748538012,Lax,641462590,8527037.0,6910840.0,92.81977154730829,1.233864045470594
Wyoming,11,20,2,0.5555555555555556,Lax,48913864,565573.0,576851.0,84.79462460843442,0.9804490240980773
Wisconsin,9,28,2,0.543859649122807,Lax,507995089,5157913.0,5893718.0,86.1926357861031,0.8751543592686315
Missouri,12,23,0,0.4853801169590643,Lax,466376508,6907977.0,6154913.0,75.77304634525296,1.1223516888053495
Idaho,11,27,0,0.47953216374269003,Lax,144714144,1634629.0,1839106.0,78.68722303119016,0.888817175301478
Nebraska,10,30,0,0.4678362573099415,Lax,160359373,1582857.0,1961504.0,81.75327350849145,0.8069608830774753
South Dakota,2,23,0,0.19298245614035087,Lax,85525593,1200288.0,886667.0,96.45739945210546,1.3537077617639994
